Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,1130.000000,1158.699951,1111.900024,1154.300049,1154.300049,48520806
2020-03-31,1155.099976,1166.900024,1120.099976,1120.599976,1120.599976,41238395
2020-04-01,1113.500000,1113.500000,1059.199951,1074.599976,1074.599976,55049699
2020-04-02,1082.099976,1108.099976,1049.800049,1074.099976,1074.099976,52955471
2020-04-03,1066.800049,1084.599976,1029.699951,1050.300049,1050.300049,42710980
2020-04-05,null,null,null,null,null,null
2020-04-06,1090.199951,1138.000000,1088.099976,1128.000000,1128.000000,50139708
2020-04-07,1113.599976,1190.400024,1113.599976,1130.400024,1130.400024,66226473
2020-04-08,1126.699951,1197.300049,1117.800049,1188.900024,1188.900024,46198629
2020-04-09,1180.000000,1250.900024,1167.699951,1248.900024,1248.900024,77440421
2020-04-12,1265.000000,1265.599976,1213.000000,1221.900024,1221.900024,478254
2020-04-13,1220.099976,1239.599976,1195.099976,1219.699951,1219.699951,42645993
2020-04-14,1237.500000,1253.800049,1217.800049,1231.599976,1231.599976,45320898
2020-04-15,1224.800049,1229.099976,1169.099976,1171.699951,1171.699951,49209055
2020-04-16,1173.400024,1232.300049,1148.500000,1232.300049,1232.300049,57867526
2020-04-17,1232.300049,1232.300049,1204.400024,1222.099976,1222.099976,52360606
2020-04-19,1211.000000,1213.900024,1206.800049,1211.000000,1211.000000,230571
2020-04-20,1225.599976,1233.500000,1190.800049,1212.300049,1212.300049,45391799
2020-04-21,1194.900024,1205.800049,1164.599976,1188.000000,1188.000000,54028068
2020-04-22,1182.000000,1213.900024,1175.699951,1187.000000,1187.000000,39331146
2020-04-23,1188.500000,1233.099976,1188.500000,1197.099976,1197.099976,44043577
2020-04-24,1194.500000,1237.400024,1189.000000,1224.900024,1224.900024,36130944
2020-04-26,1221.400024,1226.300049,1217.800049,1221.599976,1221.599976,278233
2020-04-27,1242.500000,1289.300049,1240.500000,1278.500000,1278.500000,57569584
2020-04-28,1267.699951,1320.699951,1264.800049,1303.000000,1303.000000,66823802
2020-04-29,1313.800049,1374.000000,1305.000000,1364.199951,1364.199951,66469435
2020-04-30,1366.099976,1370.599976,1283.000000,1288.400024,1288.400024,68096229
2020-05-01,1286.500000,1290.199951,1236.500000,1253.000000,1253.000000,49963714
2020-05-03,1236.800049,1241.199951,1220.099976,1222.800049,1222.800049,392391
2020-05-04,1245.099976,1263.400024,1226.400024,1260.199951,1260.199951,53235882
2020-05-05,1269.699951,1303.699951,1262.000000,1274.199951,1274.199951,50570054
2020-05-06,1265.400024,1286.400024,1262.699951,1278.099976,1278.099976,6992932
2020-05-07,1264.300049,1289.000000,1261.400024,1284.500000,1284.500000,47897337
2020-05-08,1304.599976,1330.800049,1295.000000,1330.800049,1330.800049,46653180
2020-05-10,1327.099976,1336.099976,1318.000000,1334.500000,1334.500000,183357
2020-05-11,1337.400024,1339.500000,1297.300049,1311.599976,1311.599976,54429901
2020-05-12,1304.599976,1332.099976,1250.000000,1250.599976,1250.599976,54277479
2020-05-13,1263.800049,1279.500000,1208.099976,1235.800049,1235.800049,80493474
2020-05-14,1227.599976,1241.699951,1174.900024,1241.099976,1241.099976,88875765
2020-05-15,1234.500000,1259.099976,1212.599976,1252.900024,1252.900024,64611348
2020-05-17,1254.099976,1273.099976,1247.500000,1268.900024,1268.900024,504434
2020-05-18,1275.699951,1338.199951,1270.500000,1333.599976,1333.599976,81820873
2020-05-19,1324.599976,1350.699951,1297.500000,1311.000000,1311.000000,57196662
2020-05-20,1321.300049,1354.199951,1315.199951,1343.900024,1343.900024,64944822
2020-05-21,1332.800049,1355.000000,1327.000000,1352.400024,1352.400024,48968304
2020-05-22,1328.699951,1357.500000,1315.900024,1356.000000,1356.000000,53298905
2020-05-24,1362.000000,1365.599976,1359.699951,1364.699951,1364.699951,72697
2020-05-26,1390.400024,1410.099976,1386.599976,1393.500000,1393.500000,80444615
2020-05-27,1410.300049,1442.800049,1377.400024,1441.099976,1441.099976,79758255
2020-05-28,1437.000000,1453.000000,1393.900024,1401.000000,1401.000000,75628130
2020-05-29,1397.800049,1407.900024,1368.300049,1406.300049,1406.300049,69377887
2020-05-31,1378.500000,1383.699951,1377.300049,1383.099976,1383.099976,105672
2020-06-01,1393.900024,1421.099976,1381.000000,1391.199951,1391.199951,53712284
2020-06-02,1397.599976,1425.199951,1395.099976,1423.800049,1423.800049,55569978
2020-06-03,1425.199951,1465.199951,1424.400024,1458.199951,1458.199951,58270979
2020-06-04,1445.699951,1460.000000,1427.300049,1451.699951,1451.699951,66274501
2020-06-05,1465.699951,1527.800049,1463.699951,1502.300049,1502.300049,88539156
2020-06-07,1506.000000,1525.000000,1502.400024,1523.800049,1523.800049,257328
2020-06-08,1511.300049,1539.400024,1501.000000,1535.900024,1535.900024,58145828
2020-06-09,1533.800049,1538.699951,1495.199951,1515.400024,1515.400024,68381448
2020-06-10,1521.500000,1524.000000,1442.699951,1443.000000,1443.000000,66877861
2020-06-11,1433.199951,1436.199951,1350.900024,1374.599976,1374.599976,109744523
2020-06-12,1384.900024,1415.400024,1345.699951,1380.500000,1380.500000,71522481
2020-06-14,1359.099976,1369.699951,1343.800049,1352.500000,1352.500000,403869
2020-06-15,1356.500000,1436.800049,1318.599976,1433.099976,1433.099976,105085216
2020-06-16,1449.400024,1484.900024,1417.900024,1454.400024,1454.400024,79268561
2020-06-17,1441.699951,1470.900024,1412.900024,1413.699951,1413.699951,63596822
2020-06-18,1414.800049,1439.099976,1402.000000,1432.199951,1432.199951,59682975
2020-06-19,1422.800049,1451.199951,1400.500000,1403.599976,1403.599976,54622304
2020-06-21,1392.800049,1401.699951,1383.400024,1401.099976,1401.099976,472239
2020-06-22,1415.400024,1441.500000,1393.800049,1440.000000,1440.000000,48149834
2020-06-23,1433.300049,1459.500000,1424.000000,1433.800049,1433.800049,50477982
2020-06-24,1434.300049,1441.699951,1368.099976,1389.300049,1389.300049,64098933
2020-06-25,1383.599976,1413.400024,1363.599976,1409.599976,1409.599976,65850429
2020-06-26,1405.699951,1412.699951,1369.500000,1373.000000,1373.000000,59302855
2020-06-28,1362.199951,1375.400024,1359.599976,1374.400024,1374.400024,366879
2020-06-29,1377.099976,1428.500000,1372.099976,1424.500000,1424.500000,81265793
2020-06-30,1422.500000,1441.699951,1406.500000,1431.800049,1431.800049,54309678
2020-07-01,1429.699951,1450.800049,1415.099976,1425.300049,1425.300049,72338519
2020-07-02,1424.800049,1458.099976,1421.599976,1433.000000,1433.000000,55051989
2020-07-05,1424.199951,1438.000000,1421.500000,1436.699951,1436.699951,118463
2020-07-06,1457.900024,1466.400024,1421.500000,1445.699951,1445.699951,56195504
2020-07-07,1435.699951,1439.500000,1409.400024,1414.099976,1414.099976,52744810
2020-07-08,1412.699951,1429.599976,1395.199951,1425.800049,1425.800049,59217188
2020-07-09,1422.000000,1428.099976,1376.400024,1400.599976,1400.599976,62293292
2020-07-10,1394.900024,1423.800049,1373.599976,1422.199951,1422.199951,60519418
2020-07-12,1423.000000,1438.300049,1421.699951,1428.900024,1428.900024,362829
2020-07-13,1432.099976,1451.300049,1396.599976,1409.000000,1409.000000,56894128
2020-07-14,1401.500000,1448.300049,1390.300049,1445.800049,1445.800049,78799508
2020-07-15,1442.699951,1485.500000,1436.099976,1485.300049,1485.300049,86406496
2020-07-16,1473.400024,1475.300049,1462.500000,1470.800049,1470.800049,5563073
2020-07-17,1465.000000,1481.599976,1459.500000,1468.800049,1468.800049,42454274
2020-07-19,1469.000000,1472.300049,1466.000000,1471.000000,1471.000000,73249
2020-07-20,1463.400024,1473.500000,1453.699951,1465.000000,1465.000000,43958254
2020-07-21,1467.199951,1496.599976,1466.300049,1488.099976,1488.099976,56211456
2020-07-22,1492.900024,1492.900024,1465.099976,1487.000000,1487.000000,44525377
2020-07-23,1488.699951,1507.500000,1472.099976,1490.500000,1490.500000,44519773
2020-07-24,1483.699951,1487.900024,1460.300049,1463.099976,1463.099976,51667093
2020-07-26,1466.400024,1471.199951,1456.199951,1461.199951,1461.199951,245648
2020-07-27,1473.300049,1484.699951,1458.900024,1483.699951,1483.699951,38923203
2020-07-28,1481.300049,1485.699951,1464.800049,1471.099976,1471.099976,38916101
